Mozart,key value
0, 88
1, 88
2, 49
3, 30
4, 32
5, 55
6, 100
7, 123
8, 92
9, 104
10, 99
11, 123
12, 102
13, 58
14, 99
15, 115
16, 103
17, 137
18, 134
19, 98
20, 88
21, 72
22, 79
23, 59
24, 93
25, 59
26, 109
27, 101
28, 113
29, 36
30, 41
31, 170
32, 150
33, 63
34, 74
35, 86
36, 114
37, 93
38, 135
39, 95
40, 134
41, 65
42, 56
43, 72
44, 88
45, 65
46, 35
47, 35
48, 59
49, 37
50, 69
51, 60
52, 69
53, 53
54, 54
55, 61
56, 67
57, 41
58, 55
59, 62
60, 84
61, 47
62, 70
63, 76
64, 56
65, 42
66, 66
67, 29
68, 43
69, 48
70, 49
71, 38
72, 42
73, 46
74, 47
75, 55
76, 61
77, 25
78, 29
79, 42
80, 39
81, 25
82, 33
83, 40
84, 39
85, 72
86, 85
87, 65
88, 75
89, 56
90, 44
91, 44
92, 49
93, 44
94, 62
95, 66
96, 52
97, 60
98, 56
99, 52
100, 52
101, 67
102, 55
103, 54
104, 59
105, 58
106, 36
107, 51
108, 43
109, 38
110, 33
111, 53
112, 39
113, 35
114, 47
115, 34
116, 90
117, 43
118, 41
119, 87
120, 109
121, 75
122, 79
123, 68
124, 108
125, 62
126, 90
127, 54
128, 80
129, 45
130, 42
131, 54
132, 12
133, 42
134, 47
135, 81
136, 49
137, 48
138, 45
139, 54
140, 48
141, 45
142, 10
143, 32
144, 43
145, 59
146, 52
147, 40
148, 37
149, 25
150, 46
151, 66
152, 45
153, 40
154, 40
155, 38
156, 44
157, 66
158, 72
159, 43
160, 72
161, 30
162, 29
163, 20
164, 28
165, 61
166, 67
167, 66
168, 93
169, 88
170, 56
171, 30
172, 32
173, 55
174, 42
175, 56
176, 70
177, 64
178, 60
179, 69
180, 60
181, 66
182, 90
183, 70
184, 76
185, 56
186, 46
187, 66
188, 32
189, 54
190, 43
191, 55
192, 45
193, 58
194, 49
195, 55
196, 61
197, 60
198, 54
199, 46
200, 38
201, 32
202, 53
203, 43
204, 69
205, 74
206, 86
207, 86
208, 112
209, 134
210, 98
211, 90
212, 77
213, 45
214, 57
215, 49
216, 57
217, 72
218, 77
219, 76
220, 59
221, 55
222, 58
223, 63
224, 63
225, 62
226, 53
227, 65
228, 55
229, 34
230, 69
231, 52
232, 48
233, 37
234, 69
235, 72
236, 82
237, 61
238, 53
239, 118
240, 101
241, 92
242, 87
243, 100
244, 101
245, 88
246, 43
247, 136
248, 134
249, 33
250, 117
251, 132
252, 92
253, 108
254, 99
255, 115
256, 74
257, 111
258, 139
259, 95
260, 134
261, 100
262, 114
263, 139
264, 157
