../data/Mozart2/Mozart.mxl,data
0,"[0, 2, 0, 0, 2, 0, 1, 0]"
1,"[1, 1, 0, 0, 1, 1, 1, 0]"
2,"[1, 1, 2, 0, 1, 0, 1, 0]"
3,"[1, 2, 0, 0, 1, 1, 1, 0]"
4,"[2, 1, 1, 0, 1, 1, 1, 0]"
5,"[1, 1, 1, 0, 2, 1, 2, 0]"
6,"[1, 1, 1, 0, 1, 2, 1, 0]"
7,"[1, 1, 1, 0, 2, 1, 1, 0]"
8,"[3, 1, 3, 0, 0, 1, 1, 0]"
9,"[2, 1, 2, 0, 1, 1, 1, 0]"
10,"[0, 2, 0, 0, 1, 1, 1, 0]"
11,"[0, 3, 0, 0, 0, 1, 0, 0]"
12,"[0, 0, 0, 0, 1, 2, 0, 0]"
13,"[0, 1, 1, 0, 0, 2, 0, 0]"
14,"[0, 1, 1, 0, 1, 1, 0, 0]"
15,"[0, 1, 1, 0, 0, 2, 0, 0]"
16,"[0, 1, 1, 0, 1, 1, 0, 0]"
17,"[0, 1, 0, 0, 1, 1, 1, 0]"
18,"[0, 0, 1, 0, 1, 1, 0, 0]"
19,"[0, 1, 1, 0, 1, 0, 1, 0]"
20,"[0, 1, 1, 0, 0, 1, 0, 0]"
21,"[0, 0, 1, 0, 3, 0, 3, 0]"
22,"[0, 0, 2, 0, 3, 0, 2, 0]"
23,"[0, 1, 1, 0, 1, 2, 0, 0]"
24,"[0, 1, 2, 0, 1, 1, 0, 0]"
25,"[0, 2, 1, 0, 1, 1, 0, 0]"
26,"[0, 2, 1, 0, 1, 1, 0, 0]"
27,"[0, 3, 0, 0, 0, 1, 0, 0]"
28,"[0, 2, 1, 1, 1, 1, 0, 0]"
29,"[0, 2, 1, 1, 1, 1, 0, 0]"
30,"[1, 2, 1, 1, 1, 1, 1, 0]"
31,"[0, 1, 1, 1, 0, 1, 1, 0]"
32,"[1, 1, 1, 0, 0, 2, 1, 0]"
33,"[1, 1, 1, 0, 0, 2, 1, 0]"
34,"[1, 1, 1, 0, 1, 2, 1, 0]"
35,"[1, 0, 1, 0, 1, 1, 1, 0]"
36,"[1, 1, 1, 0, 1, 1, 1, 0]"
37,"[1, 1, 1, 0, 1, 1, 1, 0]"
38,"[1, 1, 1, 0, 1, 1, 1, 0]"
39,"[1, 1, 1, 0, 1, 1, 1, 0]"
40,"[1, 2, 1, 2, 2, 2, 1, 0]"
41,"[2, 0, 1, 0, 2, 0, 0, 0]"
42,"[1, 1, 1, 1, 1, 0, 1, 0]"
43,"[1, 0, 1, 1, 1, 2, 0, 0]"
44,"[1, 1, 1, 1, 2, 0, 1, 0]"
45,"[1, 1, 1, 2, 1, 1, 1, 0]"
46,"[2, 1, 2, 1, 1, 1, 1, 0]"
47,"[1, 2, 1, 1, 1, 1, 1, 0]"
48,"[2, 1, 1, 1, 1, 1, 1, 0]"
49,"[1, 1, 2, 1, 1, 1, 1, 0]"
50,"[1, 2, 1, 0, 2, 1, 1, 0]"
51,"[2, 1, 1, 0, 1, 1, 1, 0]"
52,"[1, 1, 1, 0, 2, 1, 2, 0]"
53,"[3, 1, 3, 0, 0, 1, 1, 0]"
54,"[2, 1, 2, 0, 1, 1, 1, 0]"
55,"[0, 2, 0, 0, 1, 1, 1, 0]"
56,"[0, 3, 0, 0, 0, 1, 0, 0]"
57,"[1, 2, 0, 0, 0, 0, 0, 0]"
58,"[0, 2, 0, 0, 1, 1, 2, 0]"
59,"[1, 1, 0, 0, 1, 1, 1, 0]"
60,"[0, 2, 0, 0, 1, 1, 2, 0]"
61,"[1, 1, 0, 0, 1, 1, 1, 0]"
62,"[1, 1, 1, 0, 1, 0, 1, 0]"
63,"[1, 1, 0, 0, 0, 1, 1, 0]"
64,"[1, 0, 1, 0, 1, 1, 1, 0]"
65,"[0, 1, 0, 0, 1, 1, 1, 0]"
66,"[2, 0, 2, 0, 0, 2, 0, 0]"
67,"[0, 0, 2, 0, 2, 0, 0, 0]"
68,"[1, 1, 1, 0, 1, 1, 2, 0]"
69,"[1, 1, 0, 0, 1, 2, 1, 0]"
70,"[1, 1, 0, 0, 2, 1, 1, 0]"
71,"[1, 1, 0, 0, 2, 1, 1, 0]"
