../data/Von/Von,data
0," [0.52, 0.0, 0.0, 0.08, 0.32, 0.0, 0.12, 0.08, 0.0, 0.08, 0.0, 0.0]"
1," [0.0, 0.0, 0.13, 0.0, 0.0, 0.07, 0.0, 0.43, 0.0, 0.05, 0.0, 0.32]"
2," [0.52, 0.0, 0.0, 0.08, 0.32, 0.0, 0.12, 0.08, 0.0, 0.08, 0.0, 0.0]"
3," [0.0, 0.0, 0.13, 0.0, 0.0, 0.07, 0.0, 0.43, 0.0, 0.05, 0.0, 0.32]"
4," [0.55, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0]"
5," [0.33, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.05, 0.0, 0.29, 0.0, 0.0]"
6," [0.13, 0.0, 0.2, 0.0, 0.0, 0.13, 0.0, 0.4, 0.0, 0.0, 0.0, 0.13]"
7," [0.4, 0.0, 0.0, 0.0, 0.53, 0.0, 0.0, 0.07, 0.0, 0.0, 0.0, 0.0]"
8," [0.13, 0.0, 0.33, 0.0, 0.17, 0.13, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0]"
9," [0.17, 0.0, 0.17, 0.0, 0.29, 0.03, 0.0, 0.22, 0.0, 0.0, 0.0, 0.13]"
10," [0.17, 0.0, 0.13, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.21]"
11," [0.38, 0.0, 0.04, 0.0, 0.2, 0.0, 0.0, 0.19, 0.14, 0.0, 0.0, 0.19]"
12," [0.06, 0.0, 0.06, 0.0, 0.0, 0.44, 0.0, 0.11, 0.0, 0.17, 0.0, 0.17]"
13," [0.4, 0.0, 0.14, 0.0, 0.25, 0.04, 0.0, 0.17, 0.0, 0.0, 0.0, 0.0]"
14," [0.52, 0.0, 0.0, 0.08, 0.08, 0.0, 0.12, 0.32, 0.0, 0.08, 0.0, 0.0]"
15," [0.0, 0.0, 0.13, 0.0, 0.0, 0.07, 0.0, 0.43, 0.0, 0.05, 0.0, 0.32]"
16," [0.52, 0.0, 0.0, 0.08, 0.32, 0.0, 0.12, 0.08, 0.0, 0.08, 0.0, 0.0]"
17," [0.0, 0.0, 0.13, 0.0, 0.0, 0.07, 0.0, 0.43, 0.0, 0.05, 0.0, 0.32]"
18," [0.55, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0]"
19," [0.33, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.05, 0.0, 0.29, 0.0, 0.0]"
20," [0.13, 0.0, 0.2, 0.0, 0.0, 0.13, 0.0, 0.4, 0.0, 0.0, 0.0, 0.13]"
21," [0.31, 0.0, 0.0, 0.0, 0.42, 0.0, 0.0, 0.27, 0.0, 0.0, 0.0, 0.0]"
