../data/thehf/thehf,data
0," [0.4, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.35, 0.0, 0.0, 0.0, 0.0]"
1," [0.21, 0.0, 0.0, 0.0, 0.16, 0.16, 0.0, 0.26, 0.0, 0.21, 0.0, 0.0]"
2," [0.15, 0.0, 0.04, 0.0, 0.19, 0.19, 0.0, 0.31, 0.0, 0.0, 0.0, 0.12]"
3," [0.05, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05, 0.35, 0.0, 0.1, 0.0, 0.25]"
4," [0.4, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.35, 0.0, 0.0, 0.0, 0.0]"
5," [0.21, 0.0, 0.0, 0.0, 0.16, 0.16, 0.0, 0.26, 0.0, 0.21, 0.0, 0.0]"
6," [0.15, 0.0, 0.04, 0.0, 0.19, 0.19, 0.0, 0.31, 0.0, 0.0, 0.0, 0.12]"
7," [0.06, 0.0, 0.22, 0.0, 0.0, 0.0, 0.06, 0.39, 0.0, 0.11, 0.0, 0.22]"
8," [0.04, 0.0, 0.25, 0.0, 0.04, 0.21, 0.0, 0.25, 0.0, 0.0, 0.0, 0.21]"
9," [0.1, 0.0, 0.25, 0.0, 0.05, 0.05, 0.05, 0.3, 0.0, 0.05, 0.0, 0.2]"
10," [0.42, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0]"
11," [0.26, 0.0, 0.0, 0.0, 0.13, 0.17, 0.0, 0.26, 0.0, 0.17, 0.0, 0.0]"
12," [0.15, 0.0, 0.04, 0.0, 0.19, 0.19, 0.0, 0.31, 0.0, 0.0, 0.0, 0.12]"
13," [0.25, 0.0, 0.12, 0.0, 0.08, 0.12, 0.0, 0.29, 0.0, 0.04, 0.0, 0.08]"
14," [0.04, 0.0, 0.25, 0.0, 0.04, 0.21, 0.0, 0.25, 0.0, 0.0, 0.0, 0.21]"
15," [0.1, 0.0, 0.25, 0.0, 0.05, 0.05, 0.05, 0.3, 0.0, 0.05, 0.0, 0.2]"
16," [0.42, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0]"
17," [0.26, 0.0, 0.0, 0.0, 0.13, 0.17, 0.0, 0.26, 0.0, 0.17, 0.0, 0.0]"
18," [0.15, 0.0, 0.04, 0.0, 0.19, 0.19, 0.0, 0.31, 0.0, 0.0, 0.0, 0.12]"
19," [0.27, 0.0, 0.14, 0.0, 0.09, 0.14, 0.0, 0.23, 0.0, 0.05, 0.0, 0.09]"
